Time,Balanus Growth Rate,Algae,Anemones,Balanus_glandula,Chiton_spp,Chthamalus_dalli,Chthamalus_dalli (dead),Emplectonema worm,Leptasterias,Limpets,Littorina_sitkana,Mytilus_californianus,Mytilus_californianus_(dead),Mytilus_spp,Mytilus_spp_(dead),Mytilus_trossulus,Mytilus_trossulus_(dead),Mytilus_trossulus2,Mytilus_trossulus2_(dead),Nereis_worm,Nucella_canaliculata,Nucella_eggs,Nucella_ostrina,Other_worm spp.,Pisaster,Pollicipes_polymerus,Sandtube_worm,Semibalanus_cariosus,Semibalanus_cariosus_(dead),Temperature,Day
8/19/2013 0:00,5213.033333,44,1,160265,7,1565,6,8,0,1817,3564,0,0,3758,0,32,0,3790,0,2,10,0,192,0,0,0,0,0,0,12.83,231
9/16/2013 0:00,-3200.714286,25,1,70645,1,1173,2,5,0,2278,5005,1,0,12695,0,318,0,13013,0,2,1,0,94,0,0,0,0,1,2,15.04,259
10/7/2013 0:00,294.0952381,1,4,76821,3,730,1,36,0,2426,7196,1,0,39724,0,1775,0,41499,0,2,6,0,151,3,0,10,0,1,0,14.27,280
11/5/2013 0:00,-189.2413793,5,12,71333,0,734,0,65,1,6360,6672,5,1,27416,20,2223,0,29639,20,2,1,2,17,0,0,39,0,0,0,10.38,309
12/3/2013 0:00,-35.57142857,0,19,70337,0,848,1,26,0,9260,8536,17,0,30485,1,4457,0,34942,1,2,3,3,31,1,0,83,0,0,0,7.99,337
1/29/2014 0:00,42.21052632,0,13,72743,0,1576,8,18,0,8509,9579,3,0,20860,0,5473,0,26333,0,0,5,1,15,0,0,125,0,2,0,9.51,394
2/26/2014 0:00,64.64285714,0,12,74553,0,2347,20,3,0,6730,6169,56,0,13360,2,6036,1,19396,3,0,1,0,5,0,0,199,0,5,1,10.75,422
4/1/2014 0:00,-482.4705882,0,12,58149,0,4564,29,5,0,7848,5729,97,0,12456,0,5589,2,18045,2,0,54,18,28,0,0,198,0,30,1,10.16,456
4/29/2014 0:00,-211.3571429,4,19,52231,0,2455,42,12,0,8918,6345,53,0,12085,3,8869,12,20954,15,0,173,0,144,0,0,844,0,35,3,11.86,484
5/27/2014 0:00,-389.0357143,0,18,41338,1,1155,26,3,0,7324,10362,24,0,10492,1,9865,19,20357,20,0,218,41,436,0,0,1108,0,6,0,11.96,512
6/24/2014 0:00,-351.75,0,10,31489,0,592,5,13,0,8528,17731,13,0,12473,5,10693,17,23166,22,5,130,72,680,1,0,1164,0,15,0,12.58,540
7/24/2014 0:00,1073.933333,0,35,63707,0,953,3,12,0,10095,13543,12,1,6507,3,8433,24,14940,27,2,211,173,690,0,0,1435,0,20,1,14.36,570
9/7/2014 0:00,-467.2222222,0,39,42682,0,699,2,5,0,8253,14448,124,0,6356,1,8012,14,14368,15,0,84,364,112,0,0,829,0,19,0,12.53,615
10/13/2014 0:00,-1.5,0,259,42628,0,772,1,2,0,11664,8175,28,2,12663,0,7179,6,19842,6,1,87,59,72,0,1,2075,0,11,0,13.4,651
11/4/2014 0:00,-0.818181818,0,454,42610,0,1512,5,2,12,8896,10147,128,0,20078,4,13042,10,33120,14,0,207,1,113,0,2,4190,0,20,2,14.57,673
12/4/2014 0:00,16.36666667,0,706,43101,1,2769,295,15,8,8506,11869,243,2,17099,4,20722,5,37821,9,0,117,0,67,0,4,6792,0,98,3,13.12,703
1/18/2015 0:00,-68.62222222,0,703,40013,0,2233,49,0,5,5697,7741,386,0,10496,0,19895,16,30391,16,0,23,6,62,1,5,7334,0,72,8,12.46,748
2/17/2015 0:00,-343.2666667,0,459,29715,0,3946,182,1,5,3784,6817,631,3,9236,3,13713,11,22949,14,0,23,0,145,0,3,11041,0,87,17,11.55,778
